Designator,Mid X,Mid Y,Layer,Rotation
D1,88.37,-126.75,bottom,180
D2,107.928,-126.75,bottom,180
D3,127.486,-126.75,bottom,180
D4,147.044,-126.75,bottom,180
D5,166.602,-126.75,bottom,180
D6,186.16,-126.75,bottom,180
D7,205.718,-126.75,bottom,180
D8,225.276,-126.75,bottom,180
D9,244.834,-126.75,bottom,180
D10,264.392,-126.75,bottom,180
D11,94.61,-167.39,bottom,180
D12,114.168,-167.39,bottom,180
D13,133.726,-167.39,bottom,180
D14,153.284,-167.39,bottom,180
D15,172.842,-167.39,bottom,180
D16,192.4,-167.39,bottom,180
D17,211.958,-167.39,bottom,180
D18,231.516,-167.39,bottom,180
D19,251.074,-167.39,bottom,180
D20,270.632,-167.39,bottom,180
D21,104.29,-187.19,bottom,180
D22,123.848,-187.19,bottom,180
D23,143.406,-187.19,bottom,180
D24,162.964,-187.19,bottom,180
D25,182.522,-187.19,bottom,180
D26,202.08,-187.19,bottom,180
D27,221.638,-187.19,bottom,180
D28,241.196,-187.19,bottom,180
D29,260.754,-187.19,bottom,180
D30,280.312,-187.19,bottom,180
R1,104.82,-191.76,bottom,180
R2,124.378,-191.76,bottom,180
R3,143.682,-191.76,bottom,180
R4,163.494,-191.76,bottom,180
R5,183.052,-191.76,bottom,180
R6,202.864,-191.76,bottom,180
R7,222.168,-191.76,bottom,180
R8,241.726,-191.76,bottom,180
R9,261.284,-191.76,bottom,180
R10,280.72,-191.77,bottom,180
SW1,88.33,-136.69,bottom,180
SW2,107.888,-136.69,bottom,180
SW3,127.446,-136.69,bottom,180
SW4,147.004,-136.69,bottom,180
SW5,166.562,-136.69,bottom,180
SW6,186.12,-136.69,bottom,180
SW7,205.678,-136.69,bottom,180
SW8,225.236,-136.69,bottom,180
SW9,244.794,-136.69,bottom,180
SW10,264.352,-136.69,bottom,180
SW11,94.426,-157.264,bottom,180
SW12,113.984,-157.264,bottom,180
SW13,133.542,-157.264,bottom,180
SW14,153.1,-157.264,bottom,180
SW15,172.658,-157.264,bottom,180
SW16,192.216,-157.264,bottom,180
SW17,211.774,-157.264,bottom,180
SW18,231.332,-157.264,bottom,180
SW19,250.89,-157.264,bottom,180
SW20,270.448,-157.264,bottom,180
SW21,104.078,-177.33,bottom,180
SW22,123.636,-177.33,bottom,180
SW23,143.194,-177.33,bottom,180
SW24,162.752,-177.33,bottom,180
SW25,182.31,-177.33,bottom,180
SW26,201.868,-177.33,bottom,180
SW27,221.426,-177.33,bottom,180
SW28,240.984,-177.33,bottom,180
SW29,260.542,-177.33,bottom,180
SW30,280.1,-177.33,bottom,180
R11,297.746,-185.93,top,180
R12,310.7,-185.93,top,180
R13,297.73,-181.62,top,180
R14,310.684,-181.62,top,180
